URL,Name,FullName,Team,POS,AGE,HT,WT,COLLEGE,SALARY
https://www.espn.com/nba/player/_/id/3922230/aaron-holiday,Aaron Holiday4,aaronholiday,WashingtonWizards,PG,25,"6' 0""",185 lbs,UCLA,"$3,980,551"
https://www.espn.com/nba/player/_/id/4280151/corey-kispert,Corey Kispert24,coreykispert,WashingtonWizards,SF,22,"6' 6""",224 lbs,Gonzaga,"$3,383,640"
https://www.espn.com/nba/player/_/id/3134907/kyle-kuzma,Kyle Kuzma33,kylekuzma,WashingtonWizards,SF,26,"6' 9""",221 lbs,Utah,"$13,000,000"
https://www.espn.com/nba/player/_/id/2968361/raul-neto,Raul Neto19,raulneto,WashingtonWizards,PG,29,"6' 2""",180 lbs,--,"$1,669,178"
https://www.espn.com/nba/player/_/id/4715198/isaiah-todd,Isaiah Todd14,isaiahtodd,WashingtonWizards,PF,20,"6' 9""",219 lbs,--,"$1,500,000"
https://www.espn.com/nba/player/_/id/4066382/cassius-winston,Cassius Winston5,cassiuswinston,WashingtonWizards,PG,23,"6' 1""",185 lbs,Michigan State,--
https://www.espn.com/nba/player/_/id/6579/will-barton,Will Barton5,willbarton,DenverNuggets,SF,30,"6' 5""",181 lbs,Memphis,"$15,625,000"
https://www.espn.com/nba/player/_/id/4397102/bol-bol,Bol Bol10,bolbol,DenverNuggets,C,21,"7' 2""",220 lbs,Oregon,"$2,161,152"
https://www.espn.com/nba/player/_/id/2968334/facundo-campazzo,Facundo Campazzo7,facundocampazzo,DenverNuggets,PG,30,"5' 10""",195 lbs,--,"$3,200,000"
https://www.espn.com/nba/player/_/id/4230557/vlatko-cancar,Vlatko Cancar31,vlatkocancar,DenverNuggets,SF,24,"6' 8""",236 lbs,--,"$1,782,621"
https://www.espn.com/nba/player/_/id/3899009/petr-cornelie,Petr Cornelie21,petrcornelie,DenverNuggets,F,26,"6' 11""",220 lbs,--,--
https://www.espn.com/nba/player/_/id/3923250/pj-dozier,P.J. Dozier35,pjdozier,DenverNuggets,SG,25,"6' 6""",205 lbs,South Carolina,"$1,910,860"
https://www.espn.com/nba/player/_/id/3064290/aaron-gordon,Aaron Gordon50,aarongordon,DenverNuggets,PF,26,"6' 8""",235 lbs,Arizona,"$16,409,091"
https://www.espn.com/nba/player/_/id/2327577/jamychal-green,JaMychal Green0,jamychalgreen,DenverNuggets,PF,31,"6' 8""",227 lbs,Alabama,"$8,200,000"
https://www.espn.com/nba/player/_/id/3209/jeff-green,Jeff Green32,jeffgreen,DenverNuggets,PF,35,"6' 8""",235 lbs,Georgetown,"$4,500,000"
https://www.espn.com/nba/player/_/id/4065805/markus-howard,Markus Howard00,markushoward,DenverNuggets,PG,22,"5' 10""",175 lbs,Marquette,--
https://www.espn.com/nba/player/_/id/4592492/bones-hyland,Bones Hyland3,boneshyland,DenverNuggets,PG,21,"6' 2""",169 lbs,Virginia Commonwealth,"$2,096,880"
https://www.espn.com/nba/player/_/id/3112335/nikola-jokic,Nikola Jokic15,nikolajokic,DenverNuggets,C,26,"6' 11""",284 lbs,--,"$31,579,390"
https://www.espn.com/nba/player/_/id/3059310/monte-morris,Monte Morris11,montemorris,DenverNuggets,PG,26,"6' 2""",183 lbs,Iowa State,"$8,449,074"
https://www.espn.com/nba/player/_/id/3936299/jamal-murray,Jamal Murray27,jamalmurray,DenverNuggets,PG,24,"6' 3""",215 lbs,Kentucky,"$29,467,800"
https://www.espn.com/nba/player/_/id/4431690/zeke-nnaji,Zeke Nnaji22,zekennaji,DenverNuggets,PF,20,"6' 9""",240 lbs,Arizona,"$2,498,760"
https://www.espn.com/nba/player/_/id/4278104/michael-porter-jr,Michael Porter Jr.1,michaelporterjr,DenverNuggets,SF,23,"6' 10""",218 lbs,Missouri,"$5,258,735"
https://www.espn.com/nba/player/_/id/6617/austin-rivers,Austin Rivers25,austinrivers,DenverNuggets,SG,29,"6' 4""",200 lbs,Duke,"$1,669,178"
https://www.espn.com/nba/player/_/id/3907822/malik-beasley,Malik Beasley5,malikbeasley,MinnesotaTimberwolves,SG,24,"6' 4""",187 lbs,Florida State,"$14,491,964"
https://www.espn.com/nba/player/_/id/3964/patrick-beverley,Patrick Beverley22,patrickbeverley,MinnesotaTimberwolves,PG,33,"6' 1""",180 lbs,Arkansas,"$14,320,988"
https://www.espn.com/nba/player/_/id/4683025/leandro-bolmaro,Leandro Bolmaro9,leandrobolmaro,MinnesotaTimberwolves,SG,21,"6' 6""",200 lbs,--,"$2,353,320"
https://www.espn.com/nba/player/_/id/4594268/anthony-edwards,Anthony Edwards1,anthonyedwards,MinnesotaTimberwolves,SF,20,"6' 4""",225 lbs,Georgia,"$10,245,480"
https://www.espn.com/nba/player/_/id/4067325/nathan-knight,Nathan Knight13,nathanknight,MinnesotaTimberwolves,F,24,"6' 10""",253 lbs,William & Mary,--
https://www.espn.com/nba/player/_/id/2982268/jake-layman,Jake Layman10,jakelayman,MinnesotaTimberwolves,SF,27,"6' 8""",209 lbs,Maryland,"$3,940,185"
https://www.espn.com/nba/player/_/id/4431671/jaden-mcdaniels,Jaden McDaniels3,jadenmcdaniels,MinnesotaTimberwolves,PF,21,"6' 9""",185 lbs,Washington,"$2,063,280"
https://www.espn.com/nba/player/_/id/3134916/jordan-mclaughlin,Jordan McLaughlin6,jordanmclaughlin,MinnesotaTimberwolves,PG,25,"5' 11""",185 lbs,USC,"$2,000,000"
https://www.espn.com/nba/player/_/id/4278541/jaylen-nowell,Jaylen Nowell4,jaylennowell,MinnesotaTimberwolves,SG,22,"6' 4""",201 lbs,Washington,"$1,782,621"
https://www.espn.com/nba/player/_/id/4065663/josh-okogie,Josh Okogie20,joshokogie,MinnesotaTimberwolves,SF,23,"6' 4""",213 lbs,Georgia Tech,"$4,087,904"
https://www.espn.com/nba/player/_/id/2990962/taurean-prince,Taurean Prince12,taureanprince,MinnesotaTimberwolves,PF,27,"6' 6""",218 lbs,Baylor,"$13,000,000"
https://www.espn.com/nba/player/_/id/4396971/naz-reid,Naz Reid11,nazreid,MinnesotaTimberwolves,C,22,"6' 9""",264 lbs,LSU,"$1,782,621"
